
# nouns using wiki-news fastTExt vectors

tehsil tehsils
index indices 
scenario scenarios 
repertoire repertoires 
regime regimes 
facet facets 
coefficient coefficients 
website websites 
contributor contributors 
signal signals 
helix helices 
hypothesis hypotheses 
cascade cascades 
angle angles 
subpopulation subpopulations 
algorithm algorithms 
reduction reductions 
deviation deviations 
structure structures 
entity entities 
defect defects 
list lists 
threat threats 
biomarker biomarkers 
experiment experiments 
occasion occasions 
theory theories 
configuration configurations 
software softwares 
modulator modulators 
shape shapes 
pvalue pvalues 
readout readouts 
intervention interventions 
predictor predictors 
way ways 
formula formulas 
program programs 
distribution distributions 
covariate covariates 
immunoassay immunoassays 
avenue avenues 
intercept intercepts 
alteration alterations 
model models 
indicator indicators 
question questions 
technique techniques 
barrier barriers 
association associations 
dataset datasets 
mechanism mechanisms 
geometry geometries 
definition definitions 
manifestation manifestations 
approximation approximations 
equation equations 
method methods 
peak peaks 
effect effects 
deficiency deficiencies 
calculation calculations 
survey surveys 
kit kits 
taxon taxa 
abnormality abnormalities 
plasmid plasmids 
examination examinations 
estimate estimates 
direction directions 
possibility possibilities 
motif motifs 
clade clades 
genus genera 
subgroup subgroups 
characterization characterizations 
factor factors 
report reports 
correlation correlations 
chaperone chaperones 
argument arguments 
format formats 
arrangement arrangements 
setting settings 
estimator estimators 
domain domains 
concept concepts 
mab mabs 
conformation conformations 
cut-point cut-points 
workflow workflows 
tactic tactics 
vector vectors 
descriptor descriptors 
constituent constituents 
measure measures 
frequency frequencies 
cohort cohorts 
platform platforms 
sub-network sub-networks 
perturbation perturbations 
construct constructs 
methodology methodologies 
situation situations 
manufacturer manufacturers 
impairment impairments 
questionnaire questionnaires 
amount amounts 
region regions 
ingredient ingredients 
issue issues 
activator activators 
relationship relationships 
component components 
measurement measurements 
chelator chelators 
score scores 
package packages 
tool tools 
outcome outcomes 
surrogate surrogates 
community communities 
dimension dimensions 
modality modalities 
regulator regulators 
shortcoming shortcomings 
dysfunction dysfunctions 
meta-analysis meta-analyses 
marker markers 
antibody antibodies 
timescale timescales 
variation variations 
schedule schedules 
trend trends 
exponent exponents 
role roles 
representation representations 
heatmap heatmaps 
machinery machineries 
campaign campaigns 
fluctuation fluctuations 
percentage percentages 
hallmark hallmarks 
reporter reporters 
subfamily subfamilies 
paradigm paradigms 
assemblage assemblages 
incidence incidences 
clue clues 
concern concerns 
variable variables 
setup setups 
pathway pathways 
pattern patterns 
confounder confounders 
topic topics 
strategy strategies 
estimation estimations 
topology topologies 
procedure procedures 
comparison comparisons 
segment segments 
residue residues 
attribute attributes 
discrepancy discrepancies 
session sessions 
task tasks 
manner manners 
contribution contributions 
perspective perspectives 
plane planes 
cluster clusters 
attractor attractors 
implication implications 
indication indications 
drawback drawbacks 
pool pools 
prerequisite prerequisites 
subtype subtypes 
aspect aspects 
programme programmes 
study studies 
signature signatures 
elisa elisas 
goal goals 
explanation explanations 
scheme schemes 
effort efforts 
investigation investigations 
metric metrics 
category categories 
agonist agonists 
system systems 
conformer conformers 
architecture architectures 
regimen regimens 
ratio ratios 
repressor repressors 
number numbers 
problem problems 
instrument instruments 
pocket pockets 
mediator mediators 
behavior behaviors 
inhibitor inhibitors 
debate debates 
proposal proposals 
cutoff cutoffs 
prevalence prevalences 
mode modes 
evaluation evaluations 
cut-off cut-offs 
determinant determinants 
module modules 
advantage advantages 
slope slopes 
finding findings 
moiety moieties 
proxy proxies 
value values 
site sites 
layout layouts 
theme themes 
classifier classifiers 
portion portions 
orientation orientations 
profile profiles 
group groups 
context contexts 
proportion proportions 
initiative initiatives 
clique cliques 
set sets 
option options 
assessment assessments 
sub-group sub-groups 
sub-population sub-populations 
mutant mutants 
analysis analyses 
intensity intensities 
shift shifts 
quantification quantifications 
pair pairs 
position positions 
antagonist antagonists 
process processes 
design designs 
location locations 
obstacle obstacles 
lineage lineages 
framework frameworks 
histogram histograms 
plot plots 
stimulus stimuli 
subclade subclades 
device devices 
terminus termini 
property properties 
subnetwork subnetworks 
assay assays 
suggestion suggestions 
phenomenon phenomena 
subset subsets 
assumption assumptions 
feature features 
distinction distinctions 
oxidant oxidants 
parameter parameters 
change changes 
mutation mutations 
trait traits 




rodent rodents 
black-capped chickadees 
grasshopper grasshoppers 
tadpole tadpoles 
parasitoid parasitoids 
gecko geckos 
albatross albatrosses 
duck ducks 
chicken chickens 
carnivore carnivores 
herbivore herbivores 
arthropod arthropods 
cow cows 
vulture vultures 
gull gulls 
invertebrate invertebrates 
mammalian mammals 
reptile reptiles 
teleost fishes 
lamprey lampreys 
cetacean cetaceans 
human humans 
gastropod gastropods 
lobster lobsters 
mussel mussels 
guppy guppies 
bee bees 
penguin penguins 
wolf wolves 
nhp nhps 
vertebrate vertebrates 
locust locusts 
horse horses 
cricket crickets 
fly flies 
orangutan orangutans 
opossum opossums 
tiger tigers 
dog dogs 
possum possums 
marmoset marmosets 
salamander salamanders 
gibbon gibbons 
shark sharks 
tortoise tortoises 
sparrow sparrows 
macaque macaques 
elephant elephants 
insect insects 
shrew shrews 
ant ants 
ferret ferrets 
squirrel squirrels 
grazer grazers 
lemur lemurs 
turtle turtles 
stickleback sticklebacks 
gerbil gerbils 
rat rats 
hamster hamsters 
baboon baboons 
seal seals 
finch finches 
diatom diatoms 
panda pandas 
urchin urchins 
moth moths 
whale whales 
leopard leopards 
bird birds 
predator predators 
butterfly butterflies 
copepod copepods 
lion lions 
prokaryotic prokaryotes 
primate primates 
pig pigs 
cockroach cockroaches 
pollinator pollinators 
coyote coyotes 
honeybee honeybees 
seabird seabirds 
ruminant ruminants 
crustacean crustaceans 
dolphin dolphins 
dingo dingoes 
monkey monkeys 
vole voles 
beetle beetles 
toad toads 
eukaryotic eukaryotes 
amphibian amphibians 
ungulate ungulates 
mouse mice 
frog frogs 
goose geese 
chick chicks 
songbird songbirds 
newt newts 
cat cats 
wasp wasps 
aphid aphids 
minipig minipigs 
lizard lizards 
chimpanzee chimpanzees 
salmonid salmonids 
plant plants 
nematode nematodes 


minigame minigames
mini-game mini-games
game games
girl girls 
farmer farmers 
psychiatrist psychiatrists 
investigator investigators 
infant infants 
baby babies 
surgeon surgeons 
husband husbands 
facility facilities 
pharmacist pharmacists 
scientist scientists 
mother mothers 
ophthalmologist ophthalmologists 
town towns 
female females 
practitioner practitioners 
ecoregion ecoregions 
observer observers 
veterinarian veterinarians 
caretaker caretakers 
examiner examiners 
department departments 
employee employees 
employer employers 
team teams 
author authors 
county counties 
officer officers 
cardiologist cardiologists 
municipality municipalities 
province provinces 
applicant applicants 
doctor doctors 
neonate neonates 
chw chws 
taxon taxa 
village villages 
instructor coaches 
listener listeners 
pathologist pathologists 
piglet piglets 
phylum phyla 
participant participants 
hospital hospitals 
supervisor supervisors 
country countries 
genus genera 
patient patients 
spouse spouses 
flock flocks 
clinician clinicians 
person people 
locality localities 
provider providers 
interviewee interviewees 
researcher researchers 
volunteer volunteers 
ward wards 
proband probands 
therapist therapists 
caregiver caregivers 
centre centres 
interview interviews 
rater raters 
district districts 
respondent respondents 
school schools 
neurologist neurologists 
adult adults 
household households 
informant informants 
psychologist psychologists 
interviewer interviewers 
farm farms 
counselor counselors 
embryo embryos 
teacher teachers 
child children 
woman women 
guardian guardians 
technician technicians 
assemblage assemblages 
fetus fetuses 
male males 
clinic clinics 
reviewer reviewers 
speaker speakers 
physician physicians 
pup pups 
institution institutions 
radiologist radiologists 
father fathers 
pharmacy pharmacies 
million millions
hundred hundreds
thousand thousands
group groups
organization organizations
foundation foundations
opera operas
oratorio oratorios
cantata cantatas


designs design 
brochures brochure 
autobiographies autobiography 
cones cone 
melodies melody 
squads squad 
forts fort 
observations observation 
products product 
restaurants restaurant 
reactions reaction 
substances substance 
portions portion 
descriptions description 
misconceptions misconception 
disparities disparity 
profiles profile 
semesters semester 
distinctions distinction 
downloads download 
trucks truck 
announcements announcement 
proposals proposal 
seminars seminar 
gems gem 
airplanes airplane 
festivals festival 
forests forest 
directories directory 
suspects suspect 
minutes minute 
organizations organization 
parts part 
pieces piece 
EPs EP 
swords sword 
ideologies ideology 
comedies comedy 
features feature 
controversies controversy 
emperors emperor 
repositories repository 
effects effect 
stations station 
reasons reason 
bags bag 
tournaments tournament 
entries entry 
institutions institution 
posts post 
pledges pledge 
variables variable 
strips strip 
passports passport 
pillows pillow 
tattoos tattoo 
allegations allegation 
transcripts transcript 
questions question 
indices index 
atrocities atrocity 
residences residence 
tents tent 
discrepancies discrepancy 
stickers sticker 
predictions prediction 
routes route 
diplomas diploma 
opportunities opportunity 
sandwiches sandwich 
objections objection 
postings posting 
gowns gown 
bits bit 
papers paper 
collections collection 
slots slot 
confessions confession 
consultations consultation 
guesses guess 
barriers barrier 
adaptations adaptation 
excursions excursion 
licenses license 
setbacks setback 
acquisitions acquisition 
societies society 
rooms room 
museums museum 
considerations consideration 
towns town 
articles article 
symposia symposium 
abbreviations abbreviation 
alternatives alternative 
broadcasts broadcast 
idols idol 
kings king 
artworks artwork 
editions edition 
loans loan 
handsets handset 
poems poem 
stubs stub 
tales tale 
sentences sentence 
technologies technology 
expressions expression 
suits suit 
jackets jacket 
revelations revelation 
disasters disaster 
updates update 
clips clip 
responses response 
flaws flaw 
posters poster 
walks walk 
implementations implementation 
outbreaks outbreak 
definitions definition 
disadvantages disadvantage 
partitions partition 
Sundays Sunday 
kids kid 
voices voice 
villains villain 
lunches lunch 
units unit 
branches branch 
franchises franchise 
measures measure 
floods flood 
themes theme 
motors motor 
actresses actress 
DVDs DVD 
functions function 
cabins cabin 
estimates estimate 
parishes parish 
barrels barrel 
weekends weekend 
niches niche 
soldiers soldier 
positions position 
portals portal 
payouts payout 
newsletters newsletter 
bios bio 
adverts advert 
devices device 
pins pin 
enclosures enclosure 
perspectives perspective 
providers provider 
hats hat 
files file 
universities university 
paradigms paradigm 
shirts shirt 
guitars guitar 
assignments assignment 
citations citation 
frustrations frustration 
members member 
championships championship 
summits summit 
recordings recording 
propositions proposition 
strategies strategy 
tactics tactic 
tributes tribute 
outfits outfit 
productions production 
expeditions expedition 
benchmarks benchmark 
singers singer 
inventions invention 
vineyards vineyard 
professions profession 
invoices invoice 
combinations combination 
jerseys jersey 
nations nation 
skeletons skeleton 
possibilities possibility 
cannons cannon 
tricks trick 
expansions expansion 
T-shirts T-shirt 
quizzes quiz 
conversations conversation 
treasures treasure 
certificates certificate 
conspiracies conspiracy 
tornadoes tornado 
toys toy 
garages garage 
techniques technique 
tensions tension 
holes hole 
triumphs triumph 
transmitters transmitter 
occupants occupant 
viewpoints viewpoint 
maps map 
paintings painting 
commitments commitment 
kitchens kitchen 
fixtures fixture 
anthologies anthology 
verdicts verdict 
Albums Album 
planets planet 
mansions mansion 
sessions session 
concepts concept 
hardships hardship 
lessons lesson 
badges badge 
walls wall 
customers customer 
theses thesis 
steps step 
situations situation 
solutions solution 
hurricanes hurricane 
carriers carrier 
rituals ritual 
forums forum 
folders folder 
composers composer 
experiments experiment 
machines machine 
prayers prayer 
variants variant 
contexts context 
tunnels tunnel 
mosques mosque 
missions mission 
directions direction 
cartridges cartridge 
channels channel 
ambulances ambulance 
bibliographies bibliography 
pools pool 
clauses clause 
hurdles hurdle 
schools school 
transactions transaction 
forms form 
bathrooms bathroom 
garments garment 
cemeteries cemetery 
streets street 
remarks remark 
Lectures Lecture 
rivalries rivalry 
helmets helmet 
statutes statute 
submarines submarine 
scripts script 
appliances appliance 
concerts concert 
anecdotes anecdote 
arenas arena 
puzzles puzzle 
institutes institute 
essays essay 
prizes prize 
criticisms criticism 
titles title 
wikilinks wikilink 
hints hint 
sermons sermon 
novels novel 
charts chart 
factors factor 
agencies agency 
mechanisms mechanism 
jobs job 
beliefs belief 
incidents incident 
publications publication 
duplicates duplicate 
anomalies anomaly 
catalogues catalogue 
politicians politician 
athletes athlete 
neighbourhoods neighbourhood 
missiles missile 
ports port 
bottles bottle 
neighborhoods neighborhood 
datasets dataset 
names name 
tanks tank 
crises crisis 
castles castle 
huts hut 
areas area 
contradictions contradiction 
attacks attack 
photos photo 
rules rule 
meanings meaning 
flyers flyer 
rappers rapper 
camps camp 
exhibitions exhibition 
tutorials tutorial 
renovations renovation 
bundles bundle 
drafts draft 
bidders bidder 
markers marker 
vehicles vehicle 
centres centre 
surveys survey 
cubes cube 
mounds mound 
paragraphs paragraph 
narratives narrative 
compositions composition 
auctions auction 
masterpieces masterpiece 
fights fight 
constructions construction 
lodges lodge 
cruises cruise 
ideas idea 
usages usage 
uprisings uprising 
acronyms acronym 
rationales rationale 
raids raid 
stadiums stadium 
bulbs bulb 
methods method 
audiences audience 
jurisdictions jurisdiction 
warnings warning 
circumstances circumstance 
discussions discussion 
performers performer 
translations translation 
problems problem 
enterprises enterprise 
difficulties difficulty 
storylines storyline 
lakes lake 
pamphlets pamphlet 
droughts drought 
commands command 
bridges bridge 
compounds compound 
dilemmas dilemma 
blessings blessing 
railroads railroad 
pensions pension 
hikes hike 
presentations presentation 
months month 
sheets sheet 
barns barn 
advertisements advertisement 
fellowships fellowship 
trees tree 
precedents precedent 
cameras camera 
critiques critique 
destinations destination 
configurations configuration 
grenades grenade 
gigs gig 
eruptions eruption 
replacements replacement 
structures structure 
advantages advantage 
reviews review 
buses bus 
cyclones cyclone 
classrooms classroom 
plans plan 
symbols symbol 
labs lab 
nodes node 
reports report 
principles principle 
rallies rally 
locations location 
signals signal 
churches church 
concerns concern 
marches march 
robberies robbery 
evenings evening 
libraries library 
pubs pub 
episodes episode 
assertions assertion 
players player 
halls hall 
reservoirs reservoir 
petitions petition 
terms term 
families family 
applicants applicant 
suites suite 
stunts stunt 
hymns hymn 
mornings morning 
drivers driver 
lines line 
parcels parcel 
storms storm 
volumes volume 
rockets rocket 
birds bird 
trips trip 
paths path 
disagreements disagreement 
dams dam 
monuments monument 
modifications modification 
documentaries documentary 
chapters chapter 
firearms firearm 
boats boat 
skulls skull 
comments comment 
threads thread 
ventures venture 
incentives incentive 
motifs motif 
summaries summary 
rhymes rhyme 
modules module 
assumptions assumption 
interfaces interface 
slides slide 
transformations transformation 
discourses discourse 
coats coat 
leagues league 
speeches speech 
massacres massacre 
cartoons cartoon 
songs song 
determinations determination 
declarations declaration 
taxa taxon 
quotations quotation 
accessories accessory 
nicknames nickname 
packs pack 
highways highway 
pronouns pronoun 
verses verse 
regiments regiment 
holidays holiday 
journals journal 
questionnaires questionnaire 
scenes scene 
dialogues dialogue 
claims claim 
formats format 
offices office 
capabilities capability 
comedians comedian 
newspapers newspaper 
queries query 
reflections reflection 
magazines magazine 
deities deity 
dinners dinner 
conflicts conflict 
adventures adventure 
refunds refund 
phrases phrase 
buildings building 
organisations organisation 
rites rite 
sums sum 
vessels vessel 
sequences sequence 
partnerships partnership 
winters winter 
threats threat 
clues clue 
lawsuits lawsuit 
palaces palace 
events event 
ways way 
shipments shipment 
monographs monograph 
formulas formula 
nominations nomination 
clubs club 
genomes genome 
works work 
celebrities celebrity 
facilities facility 
ballads ballad 
locales locale 
groups group 
subsidiaries subsidiary 
podcasts podcast 
sites site 
campuses campus 
disks disk 
sensors sensor 
roads road 
prerequisites prerequisite 
districts district 
tours tour 
charges charge 
costumes costume 
coils coil 
resorts resort 
earthquakes earthquake 
footnotes footnote 
programmes programme 
priests priest 
judgments judgment 
hospitals hospital 
rewards reward 
protests protest 
calendars calendar 
prohibitions prohibition 
reminders reminder 
spheres sphere 
floors floor 
decks deck 
animations animation 
alterations alteration 
limitations limitation 
graphs graph 
friends friend 
approaches approach 
weapons weapon 
kits kit 
tunes tune 
versions version 
subsidies subsidy 
murals mural 
pathways pathway 
diseases disease 
appearances appearance 
slogans slogan 
shortages shortage 
discs disc 
databases database 
businesses business 
analyses analysis 
associations association 
notifications notification 
containers container 
pipes pipe 
spots spot 
medals medal 
lists list 
tragedies tragedy 
orchestras orchestra 
shells shell 
lamps lamp 
donations donation 
demonstrations demonstration 
greetings greeting 
balloons balloon 
heroes hero 
outings outing 
messages message 
investigations investigation 
networks network 
dances dance 
girls girl 
dishes dish 
bonuses bonus 
catalogs catalog 
bombs bomb 
variations variation 
asteroids asteroid 
hazards hazard 
judgements judgement 
services service 
markets market 
jets jet 
prophets prophet 
shops shop 
rulings ruling 
rifles rifle 
correlations correlation 
playgrounds playground 
captions caption 
cups cup 
gadgets gadget 
calculations calculation 
children child 
systems system 
dangers danger 
trends trend 
matches match 
caps cap 
refs ref 
resources resource 
directives directive 
settlements settlement 
battalions battalion 
memorials memorial 
amendments amendment 
figures figure 
corridors corridor 
decades decade 
parks park 
therapies therapy 
sects sect 
pets pet 
copies copy 
notions notion 
inscriptions inscription 
redirects redirect 
donors donor 
creatures creature 
warships warship 
congregations congregation 
nights night 
routers router 
indications indication 
tables table 
villages village 
musicians musician 
discoveries discovery 
characters character 
fountains fountain 
dissertations dissertation 
clinics clinic 
ponds pond 
evaluations evaluation 
communities community 
celebrations celebration 
comparisons comparison 
websites website 
deployments deployment 
passages passage 
theories theory 
runways runway 
upgrades upgrade 
timelines timeline 
verbs verb 
planes plane 
bedrooms bedroom 
invitations invitation 
choices choice 
notebooks notebook 
dramas drama 
patterns pattern 
venues venue 
salaries salary 
testimonies testimony 
records record 
governments government 
decisions decision 
prototypes prototype 
waterfalls waterfall 
malls mall 
rides ride 
clarifications clarification 
cruisers cruiser 
warriors warrior 
attempts attempt 
fixes fix 
summers summer 
superstars superstar 
assessments assessment 
things thing 
frameworks framework 
failures failure 
selfies selfie 
items item 
visits visit 
committees committee 
skyscrapers skyscraper 
frigates frigate 
traits trait 
cars car 
towers tower 
answers answer 
qualifiers qualifier 
confrontations confrontation 
investments investment 
percentages percentage 
engines engine 
airports airport 
recommendations recommendation 
aspects aspect 
debates debate 
issues issue 
appointments appointment 
releases release 
handguns handgun 
marriages marriage 
rivers river 
complaints complaint 
spaces space 
victories victory 
connotations connotation 
arguments argument 
genres genre 
audits audit 
terraces terrace 
bribes bribe 
warheads warhead 
diagrams diagram 
interactions interaction 
bids bid 
sockets socket 
moves move 
desserts dessert 
obstacles obstacle 
statements statement 
cylinders cylinder 
games game 
endeavors endeavor 
soundtracks soundtrack 
nightclubs nightclub 
conclusions conclusion 
babies baby 
adjectives adjective 
galleries gallery 
activities activity 
conventions convention 
hypotheses hypothesis 
fundraisers fundraiser 
sculptures sculpture 
cases case 
packages package 
landscapes landscape 
commentators commentator 
quotes quote 
collaborations collaboration 
monsters monster 
sequels sequel 
webpages webpage 
restrictions restriction 
centuries century 
yachts yacht 
accounts account 
procedures procedure 
dolls doll 
bands band 
elections election 
fatalities fatality 
awards award 
films film 
recipes recipe 
cues cue 
searches search 
descriptors descriptor 
clowns clown 
cards card 
clones clone 
briefings briefing 
performances performance 
contenders contender 
textbooks textbook 
rhythms rhythm 
links link 
blokes bloke 
excerpts excerpt 
seasons season 
roofs roof 
ships ship 
waterways waterway 
opinions opinion 
albums album 
operations operation 
fragments fragment 
plots plot 
estates estate 
metaphors metaphor 
dwellings dwelling 
references reference 
volcanoes volcano 
complications complication 
factions faction 
tankers tanker 
auditions audition 
gifts gift 
chants chant 
houses house 
contracts contract 
saints saint 
types type 
shooters shooter 
treaties treaty 
molecules molecule 
dresses dress 
assaults assault 
segments segment 
objects object 
masks mask 
bets bet 
companies company 
indicators indicator 
basins basin 
movies movie 
processes process 
animals animal 
regions region 
models model 
mandates mandate 
helicopters helicopter 
retreats retreat 
conferences conference 
ingredients ingredient 
legends legend 
equations equation 
phenomena phenomenon 
panels panel 
indictments indictment 
manifestations manifestation 
excavations excavation 
scenarios scenario 
ceremonies ceremony 
banners banner 
protocols protocol 
compilations compilation 
scandals scandal 
deadlines deadline 
drinks drink 
sectors sector 
appeals appeal 
images image 
trains train 
flags flag 
weddings wedding 
ornaments ornament 
gardens garden 
years year 
trophies trophy 
grants grant 
automobiles automobile 
initiatives initiative 
tasks task 
documents document 
dictionaries dictionary 
corporations corporation 
excuses excuse 
rulers ruler 
constraints constraint 
layouts layout 
classifications classification 
occurrences occurrence 
doses dose 
pilots pilot 
visions vision 
NGOs NGO 
inspections inspection 
manuscripts manuscript 
rants rant 
billboards billboard 
operas opera 
constitutions constitution 
colleges college 
habitats habitat 
breakthroughs breakthrough 
ensembles ensemble 
strands strand 
days day 
revisions revision 
toddlers toddler 
illustrations illustration 
extensions extension 
disputes dispute 
sightings sighting 
accomplishments accomplishment 
banks bank 
diaries diary 
Agreements Agreement 
levels level 
factories factory 
projects project 
journeys journey 
formulations formulation 
launchers launcher 
tenants tenant 
phases phase 
meals meal 
insects insect 
efforts effort 
poets poet 
probes probe 
explosions explosion 
guns gun 
inferences inference 
competitions competition 
books book 
examples example 
departments department 
periodicals periodical 
biographies biography 
interventions intervention 
instruments instrument 
piers pier 
tracts tract 
accusations accusation 
depictions depiction 
artists artist 
blogs blog 
pleas plea 
plants plant 
instances instance 
tapes tape 
interpretations interpretation 
videos video 
doctrines doctrine 
identifiers identifier 
suggestions suggestion 
URLs URL 
casinos casino 
patches patch 
pictures picture 
pics pic 
explanations explanation 
programs program 
laboratories laboratory 
bugs bug 
benefits benefit 
jokes joke 
agendas agenda 
relationships relationship 
leaders leader 
maneuvers maneuver 
snacks snack 
lasers laser 
justifications justification 
puppets puppet 
stories story 
statues statue 
labels label 
behaviors behavior 
portraits portrait 
payments payment 
successes success 
ministries ministry 
agreements agreement 
reactors reactor 
servants servant 
spreadsheets spreadsheet 
photographs photograph 
algorithms algorithm 
kinds kind 
cottages cottage 
flowers flower 
doors door 
polls poll 
requirements requirement 
shrines shrine 
requests request 
purchases purchase 
schemes scheme 
airlines airline 
studies study 
elements element 
mutations mutation 
crews crew 
challenges challenge 
sources source 
resolutions resolution 
templates template 
regimes regime 
categories category 
policemen policeman 
ribbons ribbon 
meetings meeting 
courses course 
artifacts artifact 
villas villa 
components component 
tweaks tweak 
nouns noun 
inquiries inquiry 
moments moment 
actions action 
interviews interview 
screenshots screenshot 
accidents accident 
styles style 
people person 
topics topic 
shapes shape 
logos logo 
campaigns campaign 
letters letter 
prisons prison 
dictators dictator 
applications application 
temples temple 
entities entity 
candidates candidate 
residents resident 
stereotypes stereotype 
gates gate 
boxes box 
knives knife 
postcards postcard 
theatres theatre 
specimens specimen 
myths myth 
battles battle 
cities city 
hotels hotel 
modes mode 
gestures gesture 
connections connection 
sidewalks sidewalk 
tools tool 
motorcycles motorcycle 
roles role 
processors processor 
classes class 
columns column 
wars war 
trails trail 
traditions tradition 
methodologies methodology 
remixes remix 
bullets bullet 
decrees decree 
vegetables vegetable 
curricula curriculum 
designations designation 
lectures lecture 
weeks week 
prisoners prisoner 
apartments apartment 
leaflets leaflet 
compartments compartment 
portfolios portfolio 
memos memo 
workshops workshop 
gaps gap 
demos demo 
localities locality 
arrests arrest 
Conferences Conference 
tags tag 
gods god 
calculators calculator 
computers computer 
entertainers entertainer 
chunks chunk 
sketches sketch 
burials burial 
misunderstandings misunderstanding 
herbs herb 
angles angle 
nominees nominee 
plaques plaque 
mysteries mystery 
companions companion 
sacks sack 
generalizations generalization 
races race 
sections section 
selections selection 
crowds crowd 
outlets outlet 
vacations vacation 
streams stream 
superheroes superhero 
realms realm 
innovations innovation 
teams team 
pistols pistol 
voyages voyage 
CDs CD 
bailouts bailout 
parties party 
ferries ferry 
roadways roadway 
tombs tomb 
outcomes outcome 
brands brand 
analogies analogy 
specifications specification 
manuals manual 
guides guide 
curves curve 
speculations speculation 
beverages beverage 
impulses impulse 
mixtures mixture 
histories history 
textures texture 
arrangements arrangement 
measurements measurement 
perceptions perception 
sentiments sentiment 
drugs drug 
errors error 
experiences experience 
views view 
feelings feeling 
fireplaces fireplace 
algorithms algorithm 
goddesses goddess 
cages cage 
dolphins dolphin 
webpages webpage 
tubes tube 
blades blade 
snakes snake 
hospitals hospital 
projectiles projectile 
malls mall 
poems poem 
pennies penny 
jumpers jumper 
grams gram 
creatures creature 
regiments regiment 
compressors compressor 
symbols symbol 
refrigerators refrigerator 
millimeters millimeter 
ribbons ribbon 
figures figure 
pockets pocket 
mugs mug 
campsites campsite 
propellers propeller 
reports report 
statements statement 
doses dose 
violins violin 
altars altar 
pilots pilot 
shrines shrine 
identities identity 
brides bride 
packages package 
outcrops outcrop 
sailors sailor 
centrifuges centrifuge 
requests request 
submarines submarine 
wrestlers wrestler 
textbooks textbook 
ants ant 
athletes athlete 
handguns handgun 
dinosaurs dinosaur 
kilometers kilometer 
nuns nun 
competitors competitor 
pistols pistol 
airports airport 
skulls skull 
motors motor 
periodicals periodical 
taxis taxi 
thermometers thermometer 
vessels vessel 
shotguns shotgun 
pharmacies pharmacy 
prelates prelate 
fighters fighter 
applications application 
criminals criminal 
bowls bowl 
rooms room 
narratives narrative 
wiretaps wiretap 
cats cat 
videotapes videotape 
kayaks kayak 
cars car 
huts hut 
medals medal 
buildings building 
gliders glider 
labels label 
pillows pillow 
stations station 
spheres sphere 
phrases phrase 
lorries lorry 
skiers skier 
euros euro 
yachts yacht 
pianos piano 
shacks shack 
blogs blog 
graves grave 
cabs cab 
racers racer 
versions version 
swimmers swimmer 
letters letter 
gravestones gravestone 
warheads warhead 
agreements agreement 
parachutes parachute 
cops cop 
pouches pouch 
documents document 
men man 
gimmicks gimmick 
butts butt 
elephants elephant 
photos photo 
boats boat 
cockroaches cockroach 
penises penis 
capsules capsule 
dishes dish 
lobsters lobster 
CD-ROMs CD-ROM 
tools tool 
racks rack 
handsets handset 
jets jet 
desks desk 
sausages sausage 
pounds pound 
ambulances ambulance 
cyclists cyclist 
washers washer 
markers marker 
storefronts storefront 
houses house 
tubs tub 
buoys buoy 
hoses hose 
lawyers lawyer 
diplomats diplomat 
pets pet 
rodents rodent 
ambassadors ambassador 
princesses princess 
microscopes microscope 
turbines turbine 
reflectors reflector 
buttons button 
spaceships spaceship 
trolleys trolley 
pickups pickup 
oscillators oscillator 
gymnasts gymnast 
kids kid 
rubles ruble 
shops shop 
vases vase 
eagles eagle 
women woman 
memorials memorial 
flutes flute 
laptops laptop 
projects project 
actuators actuator 
sofas sofa 
collars collar 
learners learner 
bundles bundle 
cannons cannon 
files file 
SUVs SUV 
burglars burglar 
lamps lamp 
heaters heater 
videos video 
thieves thief 
zombies zombie 
feet foot 
roommates roommate 
mattresses mattress 
trophies trophy 
kiosks kiosk 
arrows arrow 
workers worker 
weapons weapon 
daggers dagger 
Portraits Portrait 
chips chip 
barrels barrel 
terrorists terrorist 
copies copy 
trays tray 
institutions institution 
artists artist 
chieftains chieftain 
trains train 
pictures picture 
inscriptions inscription 
tigers tiger 
envelopes envelope 
meters meter 
priests priest 
clergymen clergyman 
bombs bomb 
turkeys turkey 
gypsies gypsy 
stores store 
cloths cloth 
satellites satellite 
cakes cake 
oceans ocean 
legislators legislator 
shooters shooter 
cups cup 
headsets headset 
bookshops bookshop 
paintings painting 
locomotives locomotive 
cemeteries cemetery 
grandchildren grandchild 
sportsmen sportsman 
automobiles automobile 
servers server 
shields shield 
businessmen businessman 
parliamentarians parliamentarian 
necklaces necklace 
predators predator 
storms storm 
thugs thug 
diaries diary 
crates crate 
contracts contract 
spaces space 
stadiums stadium 
neurotransmitters neurotransmitter 
canines canine 
dummies dummy 
ovens oven 
artefacts artefact 
boyfriends boyfriend 
valves valve 
fortresses fortress 
footballers footballer 
fragments fragment 
serpents serpent 
travellers traveller 
propositions proposition 
tunnels tunnel 
murals mural 
beams beam 
flyers flyer 
robes robe 
tables table 
devices device 
bottles bottle 
plaques plaque 
superheroes superhero 
pics pic 
toddlers toddler 
lizards lizard 
souls soul 
squares square 
kindergartens kindergarten 
dwellings dwelling 
spears spear 
cranes crane 
ramps ramp 
employers employer 
teachers teacher 
rupees rupee 
atoms atom 
gowns gown 
furnaces furnace 
people person 
driveways driveway 
runners runner 
masterpieces masterpiece 
pans pan 
