

#----------
# sport
#----------

football hockey basketball 
passions expressions depressions 

frisian bohemian latvian 
frisia bohemia latvia 

surveys surveyor surveyed 
examines examiner examined 

mariner miner landowner 
mariners miners landowners 

drill grill glaze 
drilled grilled glazed 

stack unlock swap 
stacked unlocked swapped 

fermentation distillation distortion 
fermented distilled distorted 

researched instituted constituted 
researches institutes constitutes 

transistors transistor kv 
loudspeakers loudspeaker hz 

martyr bless confess 
martyred blessed confessed 

memorable honourable favourable 
commemorated honoured favoured 

pressures presses compressors 
pressured pressed compressed 

logging noting deleting 
logged notified deleted 

cried kissed rapped 
cries kisses raps 

adjusted contrasted tasted 
adjusting contrasting tasting 

modernized emphasized symbolized 
modernism emphasis symbolism 

biochemist neurologist statistician 
biochemical neurological statistical 

fermented soaked stirred 
ferment soak stir 

humanist zionist fundamentalist 
humanism zionism fundamental 

accumulators calculators exponents 
accumulation calculation exponentiation 

exceeding doubling totaling 
exceeded doubled totaled 

unsure unfortunate inaccurate 
surely fortunately accurately 

plucked pluck plucking 
bowed bow bowing 

decaying decays decayed 
emitting emits emitted 

arbitrary evaluate validate 
arbitration evaluation validation 

laughing disgusting blaming 
laughed disgusted blamed 

begging urging admitting 
begged urged admitted 

confront confrontation confronts 
confess confession confesses 

unpredictable unreliable unreasonable 
predictable reliable reasonable 

filtering scattering colliding 
filtered scattered collided 

disposal dispersal arousal 
disposed dispersed aroused 

rapping tapping flapping 
raps taps flaps 

rapping raping robbing 
rapped raped robbed 

knocking leaping flapping 
knocks leaps flaps 

wrapping tapping punching 
wraps taps punches 

wolverine marlin grizzly 
wolverines marlins grizzlies 

realism anarchism evangelism 
realist anarchist evangelist 

sensation motivation computation 
sensational motivational computational 

modification fortification renovation 
modifications fortifications renovations 

swelling vomiting clotting 
swell vomit clot 

tender pretender offender 
tended pretended offended 

assyrian babylonian mayan 
assyria babylonia maya 

preceded preceding precedence 
proceeded proceeding proceedings 

morality morally immoral 
mortality mortally immortal 

disguise disguised disguises 
pretend pretended pretends 

canadian-american german-american anglo-american 
canadian-born german-born english-born 

dragged sucked snapped 
dragging sucking snap 

pumps cools condenses 
pumped cooled condensed 

pancakes cheeses biscuits 
pancake cheese biscuit 

chewing rubbing piercing 
chewed rubbed pierced 

negotiated consulted publicized 
negotiation consultation publication 

floats wrecks shipwrecks 
floated wrecked shipwrecked 

phoenician sumerian mesoamerican 
phoenicians sumerians mesoamerica 

clicking plucking punching 
clicked plucked punched 

modernized consolidated redeveloped 
modernization consolidation redevelopment 

baptism martyrdom consecration 
baptised martyred consecrated 

kristen kris kristina 
christensen chris christina 

swinging stinging ringing 
swings stings rings 

surveyed mapped logged 
surveying mapping logging 

stimulation stimulate stimulating 
penetration penetrate penetrating 

emphasized emphasize emphasizes 
outlined outline outlines 

amplifiers allophones semitones 
amplifier allophone semitone 

forge urge outrage 
forged urged outraged 

astrology chronology morphology 
astrological chronological morphological 

british-american italian-american anglo-american 
british-born italian-born english-born 

grasshoppers woodpeckers slippers 
grasshopper woodpecker slipper 

charming harming behaving 
charmed harmed behaved 

specification indication carbocation 
specifications indications carbocations 

stall stain glaze 
stalled stained glazed 

smuggling fleeing freeing 
smuggled fled freed 

accumulators calculators insulators 
accumulation calculation insulation 

starving starved starve 
staring stared stare 

hijackers hackers checkers 
hijacked hacked checked 

scrapped rapped tapped 
scraped raped taped 

skepticism mysticism classicism 
skeptical mystical classical 

can need want 
could needed wanted 

their your our 
theirs yours ours 

became become becoming 
emerged emerge emerging 

part portion proportion 
parts portions proportions 

three seven nine 
twenty-three twenty-seven twenty-nine 

three twenty-three thirty-three 
four twenty-four thirty-four 

south south-central south-southwest 
north north-central north-northwest 

south southwest southwards 
north northwest northwards 

south southern southerners 
north northern northerners 

national nations nation's 
organizational organizations organization's 

released release releasing 
leased lease leasing 

area areas area's 
region regions region's 

university universities university's 
college colleges college's 

university universities university's 
institute institutes institute's 

won earned gained 
wins earns gains 

album albums album's 
song songs song's 

through passes passing 
across crosses crossing 

river tributary estuary 
rivers tributaries estuaries 

said told talked 
says tells talks 

said believed claimed 
saying believing claiming 

said suggested concluded 
sayings suggestions conclusions 

british britain britain's 
scottish scotland scotland's 

school schools school's 
teacher teachers teacher's 

school schools school's 
college colleges college's 

important importance importantly 
significant significance significantly 

important importance importantly 
prominent prominence prominently 

west south-west west-central 
east south-east east-central 

west southwest north-west 
east southeast north-east 

get getting gotten 
go going gone 

king queen majesty 
king's queen's majesty's 

famous prominent predominant 
famously prominently predominantly 

country count account 
countries counts accounts 

band beatles lennon 
band's beatles's lennon's 

countries nations unions 
country's nation's union's 

book books book's 
poem poems poet's 

house household family's 
houses households families 

popular popularity unpopular 
successful success unsuccessful 

include includes inclusive 
exclude excludes exclusive 

include includes inclusion 
conclude concludes conclusion 

million millions millionaire 
billion billions billionaire 

general generator capacitor 
generals generators capacitors 

lived survived revived 
living surviving reviving 

become come welcome 
becoming coming welcoming 

become come welcome 
becomes comes welcomes 

company companies company's 
corporation corporations corporation's 

moved moves mover 
traveled travels traveler 

moved turned burned 
moving turning burning 

german germany germany's 
swiss switzerland switzerland's 

german polish turkish 
germany's poland's turkey's 

white whites white's 
black blacks black's 

award awards award-winning 
prize prizes prize-winning 

go come welcome 
goes comes welcomes 

go take stake 
goes takes stakes 

germany germans germany's 
austria austrians austria's 

father grandfather stepfather 
mother grandmother stepmother 

father fathers godfather 
mother mothers godmother 

father mother sister 
father-in-law mother-in-law sister-in-law 

father mother grandmother 
son daughter granddaughter 

central western eastern 
north-central north-western north-eastern 

australia australian australia's 
victoria victorian victoria's 

australia australasia polynesia 
australian australasian polynesian 

australia tasmania caledonia 
australian tasmanian caledonian 

western westerly westerners 
northern northerly northerners 

minister ministers ministries 
administer administers administrations 

0.0 0.00 0.0000 
00.0 00.00 00.0000 

europe asia indonesia 
europe's asia's indonesia's 

killed killing killer 
murdered murdering murderer 

killed injured drowned 
killing injuring drowning 

killed murdered kidnapped 
killers murderers kidnappers 

published publisher publishers 
printed printer printers 

published publisher publishers 
edited editor editors 

published publishing publish 
printed printing print 

published publication publications 
illustrated illustration illustrations 

light lighter lightest 
bright brighter brightest 

light lightly lightness 
bright brightly brightness 

similar assimilated manipulated 
similarity assimilation manipulation 

changed hanged ranged 
changing hanging ranging 

formed reformed revived 
forming reforming reviving 

formed merged emerged 
forming merging emerging 

formed performed danced 
forming performing dancing 

received perceived conceived 
reception perception conception 

received earned learned 
receiving earning learning 

received gained retained 
receives gains retains 

center centers centered 
centre centres centred 

center centers centered 
enter enters entered 

see find reveal 
sees finds reveals 

military militaries military's 
naval navies navy's 

six sixteen sixty 
seven seventeen seventy 

change changes changing 
exchange exchanges exchanging 

political politics politically 
economical economics economically 

politician politicians politically 
economist economists economically 

lost defeated defended 
losing defeating defending 

animals birds snakes 
animal's bird's snake's 

mother mother's mothers 
sister sister's sisters 

produced production productive 
reproduced reproduction reproductive 

produced production producing 
introduced introduction introducing 

comes welcomes incomes 
coming welcoming incoming 

caused cause causing 
affected affect affecting 

caused cause causing 
resulted result resulting 

wanted want wants 
liked like likes 

wanted promised demanded 
wants promises demands 

wanted convinced begged 
wanting convincing begging 

attack attacking attackers 
invade invading invaders 

royal royalty royalist 
loyal loyalty loyalist 

included includes inclusion 
excluded excludes exclusion 

done performed toured 
doing performing touring 

places placed placing 
replaces replaced replacing 

awards rewards regards 
awarded rewarded regarded 

director directors directions 
projector projectors projections 

director directors directions 
sector sectors sections 

appeared appear appearance 
disappeared disappear disappearance 

sold purchased leased 
sell purchase lease 





developed development innovation 
redeveloped redevelopment renovation 

located relocated renovated 
location relocation renovation 

considered consider considering 
referred refer referring 

considered considering considers 
regarded regarding regards 

hurricane tornado blizzard 
hurricanes tornadoes blizzards 

election elect electing 
selection select selecting 

election elected electing 
vote voted voting 

africa african africa's 
asia asian asia's 

color colorful coloration 
colour colourful colouration 

information formation deformation 
informed formed deformed 

elected selected reflected 
elections selections reflections 

writer writers writer's 
author authors author's 

writer writers writer's 
poet poets poet's 

need needed needs 
require required requires 

social socialism socially 
racial racism racially 

governor governors governor's 
mayor mayors mayor's 

close closer closes 
lose loser loses 

performed performer performers 
danced dancer dancers 

reached reaching reaches 
peaked peaking peaks 

reached approached poached 
reaching approaching poaching 

female females female's 
male males male's 

spanish portuguese maltese 
spain portugal malta 

helped encouraged begged 
helping encouraging begging 

students student student's 
teachers teacher teacher's 

students schools universities 
student's school's university's 

something someone somebody 
anything anyone anybody 

something anything everything 
somewhere anywhere everywhere 

position positions posing 
proposition propositions proposing 

charles charlotte charlie 
charles's charlotte's charlie's 

think thinks thoughts 
feel feels feelings 

think thinking thinks 
know knowing knows 

think thinking thinks 
realize realizing realizes 

think believe agree 
thinking believing agreeing 

decided agreed promised 
deciding agreeing promising 

decided convinced warned 
decides convinces warns 

decided refused promised 
decides refuses promises 

opened opens open-mid 
closed closes close-mid 

possible accessible sensible 
possibility accessibility sensibility 

lower lowest lowered 
slower slowest slowed 

russian russia russians 
ukrainian ukraine ukrainians 

smaller fewer newer 
smallest fewest newest 

sports passports imports 
sport passport import 

want wants wanting 
let lets letting 

win defeat defend 
winning defeating defending 

replaced placed displaced 
replacement placement displacement 

association associations association's 
organization organizations organization's 

association appreciation initiation 
associated appreciated initiated 

signed agreed negotiated 
signing agreeing negotiating 

parents parent parental 
rents rent rental 

discovered discovery discoveries 
explored exploration explorations 

discovered explored searched 
discovering exploring searching 

low slow quick 
lowest slowest quickest 

believed argued criticised 
believe argue criticize 

david stephen steven 
davidson stephenson stevenson 

designed redesigned redeveloped 
design redesign redevelopment 

education graduation enrollment 
educated graduated enrolled 

network networks network's 
channel channels channel's 

catholic catholics catholicism 
protestant protestants protestantism 

richard richards richard's 
edward edwards edward's 

musical vocal lyrical 
musicals vocals lyrics 

fourth fifth eighth 
fourteenth fifteenth eighteenth 

described describing descriptions 
explained explaining explanations 

described describing descriptions 
defined defining definitions 

described describe descriptions 
prescribed prescribe prescriptions 

described describe describing 
identified identify identifying 

professor profession professions 
confessor confession confessions 

mark marked marks 
remark remarked remarks 

1980s 80s mid-1980s 
1950s 50s mid-1950s 

appointed advised exercised 
appoints advises exercises 

piano pianist pianists 
cello cellist cellists 

physical mechanical optical 
physics mechanics optics 

training raining draining 
trained rained drained 

reviews reviewer reviewing 
views viewer viewing 

reviews review reviewed 
views view viewed 

structure construct reconstruct 
structured constructed reconstructed 

egypt egyptian egyptians 
syria syrian syrians 

heat heated heating 
cheat cheated cheating 

austria hungary albania 
austrians hungarians albanians 

depression depressions depressive 
impression impressions impressive 

depression oppression obsession 
depressive oppressive obsessive 

depression disturbance thunderstorm 
depressions disturbances thunderstorms 

market markets marketed 
price prices priced 

charge charged charges 
discharge discharged discharges 

remains remained remaining 
retains retained retaining 

collection collections collecting 
reflection reflections reflecting 

collection collections collecting 
selection selections selecting 

note denote footnote 
notes denotes footnotes 



brothers brother's brother-in-law 
sisters sister's sister-in-law 

products exports imports 
producing exporting importing 

split splits splitting 
break breaks breaking 



workers farmers owners 
worker's farmer's owner's 

view review comment 
viewing reviewing commenting 





conference reference preference 
conferred referred preferred 

attacks attacked attacker 
invasions invaded invader 

attacks attacked attacking 
defenses defended defending 

attacks bombings explosions 
attacked bombed exploded 

attacked attacker attackers 
invaded invader invaders 

attacked attacker attackers 
defended defender defenders 




contract contracts contractor 
tract tracts tractor 

contract tract extract 
contraction traction extraction 

positive positively gram-positive 
negative negatively gram-negative 



historical historian historians 
archaeological archaeologist archaeologists 

historical historians historically 
geographical geographers geographically 





break leak sneak 
breaks leaks sneaks 



protect protection protecting 
prevent prevention preventing 



southeast southeastern east-southeast 
northwest northwestern west-northwest 

chosen choose chooses 
selected select selects 






painting painted paints 
printing printed prints 

painting drawing illustrating 
paintings drawings illustrations 

leaders leadership dictatorship 
readers readership censorship 

entered encountered countered 
enters encounters counters 



brazil brazilian brazil's 
argentina argentinian argentina's 

brazil portugal sicily 
brazilian portuguese sicilian 



environment ecosystem ecoregion 
environments ecosystems ecoregions 

construction constructed constructions 
instruction instructed instructions 

construction constructors constructor 
instruction instructors instructor 

referred transferred transformed 
referring transferring transforming 

completed reconstructed instructed 
completion reconstruction instruction 

results resulted resulting 
insults insulted insulting 

planet asteroid steroid 
planets asteroids steroids 

planet jupiter saturn 
planet's jupiter's saturn's 

practice practiced practicing 
practise practised practising 

earned earn earns 
gained gain gains 

earned gained retained 
earning gaining retaining 

directly correctly perfectly 
direction correction perfection 

refers reference referring 
prefers preference preferring 

generation generated generate 
regeneration regenerated regenerate 

powers powered powering 
lowers lowered lowering 

invented experimented analyzed 
inventing experimenting analyzing 

matches matching matched 
watches watching watched 

matches catches pitches 
matching catching pitching 

count counts counting 
account accounts accounting 

wants asks promises 
wanting asking promising 

rain rains rained 
drain drains drained 

opening opens openings 
ending ends endings 

consists resists twists 
consisting resisting twisting 

carried transported exported 
carrying transporting exporting 

operation cooperation negotiation 
operating cooperating negotiating 

operation cooperation co-operation 
operative cooperative co-operative 

operation cooperation negotiation 
operate cooperate negotiate 

operation cooperation negotiation 
operated cooperated negotiated 

graduated graduate graduating 
attended attend attending 

thousands hundreds dozens 
thousand hundred dozen 

recognized recognizes recognizing 
organized organizes organizing 

paintings sculptures engravings 
painter sculptor engraver 

ordered attempted convinced 
ordering attempting convincing 

paid paying payment 
employed employing employment 

colony colonies colonists 
settlement settlements settlers 





planned planning planners 
banned banning banners 


appearance disappearance clearance 
appearing disappearing clearing 


agreed agree agreements 
disagreed disagree disagreements 

agreed promised persuaded 
agrees promises persuades 

agreed promised compromised 
agreement promise compromise 

agreed negotiated obliged 
agreements negotiations obligations 

agreed demanded seized 
agreeing demanding seizing 







engineering engineer engineered 
pioneering pioneer pioneered 

engineering engineer engineers 
technical technician technicians 

stated statement statements 
commented comment comments 

required permitted enforced 
requiring permitting enforcing 



provided guided raided 
providing guiding raiding 

journalist essayist biographer 
journals essays biographies 

journalist journal journalists 
reporter report reporters 

defined define defines 
fined fine fines 

defined defines defining 
determined determines determining 

colors colorful coloring 
colours colourful colouring 

accepted prompted proceeded 
accepting prompting proceeding 

sense senses sensor 
tense tenses tensor 

bush reagan nixon 
bush's reagan's nixon's 

administration administrator administer 
administrations administrators administers 

wrestler wrestlers wrestler's 
opponent opponents opponent's 



philosophy philosophers philosophical 
theology theologians theological 





ends sends arrives 
ending sending arriving 

singapore singapore's singaporean 
indonesia indonesia's indonesian 

writers readers publishers 
writings readings publications 

trial prosecution tribunal 
trials prosecutions tribunals 

trial jury conviction 
trials juries convictions 

trial criminal prosecutor 
trials criminals prosecutors 

elections elects electing 
selections selects selecting 

save restore resume 
saved restored resumed 

selected selects selections 
collected collects collections 

industrial economical anatomical 
industrialist economist anatomist 

defense defence defender 
defenses defences defenders 

defense defences defenses 
offense offences offenses 

defense defensive defenders 
offense offensive offenders 

defense defended defender 
offense offended offender 

convention conventions conventional 
intention intentions intentional 

convention invention mention 
conventions inventions mentions 

gained declined ruined 
gaining declining ruining 

bishop priest clergyman 
bishops priests clergy 

presented presenter presenting 
commented commentator commenting 

block blocks blocking 
lock locks locking 

block blocked blocker 
lock locked locker 

grammy nomination nominee 
grammys nominations nominees 

failed fails failing 
attempted attempts attempting 

purpose pose expose 
purposes poses exposes 





iran iranian iranians 
syria syrian syrians 

iran iranian iranians 
arabia arabian arabs 

comedian cinematographer dramatist 
comedic cinematic dramatic 

organized organizing organizers 
organised organising organisers 

mexican mexicans mexico's 
brazilian brazilians brazil's 

buy buying buyer 
sell selling seller 

edge wedge hedge 
edges wedges hedges 

element complement supplement 
elementary complementary supplementary 

floor door indoor 
floors doors indoors 

wear swear shave 
wearing swearing shaving 

accident disaster evacuation 
accidents disasters evacuations 

stand standing stands 
sit sitting sits 

particles neutrons photons 
particle neutron photon 

particles protons bosons 
particle proton boson 

useful reliable readable 
usefulness reliability readability 

painted sculpted arched 
painter sculptor archer 

tail neck shoulder 
tails necks shoulders 

reagan ronald reagan's 
trump donald trump's 

reagan obama candidacy 
reagan's obama's party's 

reagan roosevelt fitzgerald 
reagan's roosevelt's fitzgerald's 

functions sanctions petitions 
functioned sanctioned petitioned 

functions fractions proportions 
functional fractional proportional 

mathematics mathematician euler 
astrophysics astrophysicist kepler 

applied supplied relied 
applying supplying relying 

conservative conservation conserve 
preservative preservation preserve 

depending depended dependency 
tending tended tendency 

affected affects affection 
infected infects infection 

egyptian egyptians egypt's 
iranian iranians iran's 

liberal unionist loyalist 
liberals unionists loyalists 

teaching teachers teaches 
learning learners learns 

proposed proposal propose 
approved approval approve 

proposed proposition proponents 
opposed opposition opponents 

proposed suggested debated 
propose suggestion debate 

proposed suggested discussed 
proposals suggestions discussions 

proposed discussed debated 
proposes discusses debates 



discovery discover discovering 
exploration explore exploring 

surrounded surrounding surrounds 
rounded rounding rounds 

surrounded bounded grounded 
surrounds bounds grounds 

rise rising risen 
arise arising arisen 

settled emigrated immigrated 
settler emigrant immigrant 

settled emigrated immigrated 
settlers emigrants immigrants 

alternative progressive aggressive 
alternatively progressively aggressively 

anne catherine josephine 
anne's catherine's joseph's 

strength strengthened strengthen 
intensity intensified intensify 

atoms isotopes carbocations 
atom isotope carbocation 

warm warmer warmed 
cool cooler cooled 

federation federated federative 
cooperation cooperated cooperative 

federation co-operation consultation 
federative co-operative consultative 

federation liberation affiliation 
federated liberated affiliated 

tracks tracked tracker 
cracks cracked cracker 

classes clashes washes 
classed clashed washed 

bangladesh bengal sindh 
bangla bengali sindhi 

operations operated operative 
federations federated federative 

norway scandinavia frisia 
norwegian scandinavian frisian 

afghanistan afghan afghanistan's 
iraq iraqi iraq's 

visited travelled traveled 
visitors travellers travelers 

formation reformation transformation 
forming reforming transforming 

formation deposition proposition 
formations prepositions propositions 



performing performances performers 
dancing dances dancers 

suggested suggestions suggestion 
concluded conclusions conclusion 

suggested suggestions suggesting 
indicated indications indicating 

suggested speculated manipulated 
suggestion speculation manipulation 

suggested discussed questioned 
suggestion discussion question 

suggested explained questioned 
suggestions explanations questions 

suggested tested experimented 
suggesting testing experimenting 

inspired inspiration inspiring 
imitated imitation imitating 

inspired encouraged convinced 
inspiring encouraging convincing 

expected expect expects 
experienced experience experiences 

argentina colombia bolivia 
argentinian colombian bolivian 

argentina chile peru 
argentinian chilean peruvian 

argentina ecuador guatemala 
argentinian ecuadorian guatemalan 

guitarist keyboardist trumpeter 
guitars keyboards trumpets 

kennedy f. kennedy's 
roosevelt d. roosevelt's 

cambridge oxford hereford 
cambridgeshire oxfordshire herefordshire 

response trigger sensor 
responses triggers sensors 

translated translation translations 
transcribed transcription transcriptions 

fishing catching pitching 
fisher catcher pitcher 

personality personally personalities 
nationality nationally nationalities 

novels dramas comedies 
novelist dramatist comedian 

question questions questioning 
answer answers answering 

question questions questioning 
debate debates debating 

question answer guess 
questioned answered guessed 

question debate dispute 
questioned debated disputed 

refused persuaded urged 
refuse persuade urge 

refused promised convinced 
refuse promise convince 

refused invited convinced 
refuses invites convinces 

selling sells sellers 
buying buys buyers 

selling smuggling supplying 
sellers dealers suppliers 

selling purchasing borrowing 
sells purchases borrows 

persian persia persians 
iranian iran iranians 

persian persia persians 
arabian arabia arabs 

persian persia persians 
syrian syria syrians 

persian assyrian akkadian 
persia assyria akkad 

persian turkish kurdish 
persians turks kurds 

offered offering promising 
differed differing arising 

selena gaga beyonce 
selena's gaga's beyonce's 

watch watches watchmen 
catch catches catchment 

address addresses addressed 
dress dresses dressed 

supporting reporting investigating 
supporters reporters investigators 

reading readers reader 
heading headers header 

reading readers reader 
listening listeners listener 

boat boats boating 
boa boasts surfing 

boat sail lifeboat 
boats sails lifeboats 

boat crew screw 
boats crews screws 

pairs paired pairing 
repairs repaired repairing 

distribution distributor distributors 
contribution contributor contributors 

altitude latitude attitude 
altitudes latitudes attitudes 

genetic genetics geneticist 
biological biology biologist 

donald trump nixon 
donald's trump's nixon's 

printed printing prints 
engraved engraving engravings 

printed printing printer 
illustrated illustrating illustrator 

galaxy cluster spiral 
galaxies clusters spirals 

occupied invaded fled 
occupying invading fleeing 

mentioned questioned debated 
mentioning questioning debating 

caught thrown knocked 
catching throwing knocking 

economics ecology zoology 
economical ecological zoological 

dropped dropping droppings 
topped topping toppings 

fired hired recruited 
firing hiring recruiting 

measured calculated computed 
measurements calculations computations 

advanced improved improvised 
advancement improvement improvisation 

earthquake tornado typhoon 
earthquakes tornadoes typhoons 

turkish iranian albanian 
turks iranians albanians 

turkish armenian ukrainian 
turks armenians ukrainians 

additional additionally additions 
exceptional exceptionally exceptions 

additional optional intentional 
additionally optionally intentionally 

row arrow sparrow 
rows arrows sparrows 

organizations organisations federations 
reorganization reorganisation confederation 

organizations organize organizers 
organisations organise organisers 

organizations institutions constitutions 
organizational institutional constitutional 

structures constructions renovations 
structured constructed renovated 

filled fills fillings 
billed bills billings 

filled filling fills 
drilled drilling drills 

missing kissing embarrassing 
missed kissed embarrassed 

missing kissing possessing 
misses kisses possesses 

holiday friday tuesday 
holidays fridays tuesdays 

holiday sunday monday 
holidays sundays mondays 

sisters sister's sister-in-law 
daughters daughter's daughter-in-law 

hawaii alaska siberia 
hawaiian alaskan siberian 

extended extension extensions 
expanded expansion expansions 

extended intended pretended 
extending intending pretending 

reserve reserved reservation 
conserve conserved conservation 

necessary sufficient reasonable 
necessarily sufficiently reasonably 

necessary reasonable adequate 
unnecessary unreasonable inadequate 

represents representation representations 
presents presentation presentations 

cricket ticket wicket 
crickets tickets wickets 

inches centimetres litres 
inch centimetre litre 

hunting haunting renting 
hunted haunted rented 

lose losing loses 
gain gaining gains 

dancing balancing bouncing 
dances balances bounces 

dedicated donated renovated 
dedication donation renovation 

dedicated excommunicated communicated 
dedication excommunication communication 

arabic arabia arabs 
turkic turkey turks 

talking talks talked 
walking walks walked 

talking telling crying 
talked told cried 

solution solutions solving 
resolution resolutions resolving 

defence defenceman defences 
fence fencer fences 

revealed reveals revealing 
healed heals healing 

emergency evacuation renovation 
emergencies evacuations renovations 

emergency ambulance firefighter 
emergencies ambulances firefighters 

questions answers guesses 
questioned answered guessed 

questions explanations predictions 
questioning explaining predicting 

questions discussions conclusions 
questioned discussed concluded 

holding holder holders 
folding folder folders 

definition definitions defining 
explanation explanations explaining 

zero integer exponent 
zeroes integers exponents 

nomination nominations nominate 
denomination denominations denominator 

classification classifications classifying 
modification modifications modifying 

classification specification duplication 
classifications specifications implications 

classification qualification certification 
classifications qualifications certifications 

finding discovering experimenting 
findings discoveries experiments 

tests experiments researches 
tested experimented researched 

kilometres kilometers kilometer 
millimetres millimeters millimeter 

kilometres kilometers kilometre 
centimetres centimeters centimetre 

marked marking mark's 
parked parking park's 

twenty twenty-two twenty-six 
thirty thirty-two thirty-six 

twenty twenty-five twenty-three 
thirty thirty-five thirty-three 

signal signalling signalled 
transmit transmitting transmitted 

relations revelations notions 
relation revelation notion 

selection selecting selections 
reflection reflecting reflections 

socialist socialism socialite 
marxist marxism marx 

opposition proposition rejection 
opposing proposing rejecting 

reality realistic realism 
nationality nationalistic nationalism 

biology zoology topology 
biological zoological topological 

biology epidemiology pharmacology 
biological epidemiological pharmaceutical 

birthday friday thursday 
birthdays fridays thursdays 

plastic fabric ceramic 
plastics fabrics ceramics 

romania romanian romanians 
armenia armenian armenians 

identified identify identification 
verified verify verification 

divisions provisions constitutions 
divisional provisional constitutional 

hindu hindus hinduism 
buddhist buddhists buddhism 

gardens gardener gardeners 
planted planter planters 

spirit sacrifice sacrament 
spirits sacrifices sacraments 

descent descended descending 
ascent ascended ascending 

descent immigrant migrant 
descended immigrated migrated 

celebrated celebration celebrating 
commemorated commemoration commemorating 

fleet flee recapture 
fleets flees captures 

subjects rejects respects 
subjected rejected respected 

rangers bushrangers robbers 
ranger bushranger robber 

rangers dangers strangers 
ranger danger stranger 

neck elbow heel 
necks elbows heels 

neck toe claw 
necks toes claws 

committed accused abused 
committing accusing abusing 

committed murdered kidnapped 
committing murdering kidnapping 

committed admitted permitted 
committing admitting permitting 

dream dreams dreaming 
scream screams screaming 

classified modified specified 
classifying modifying specifying 

classified modified specified 
classifications modifications specifications 

roll rolls rolled 
troll trolls patrolled 

battles battling battled 
raids raiding raided 

impact affect infect 
impacts affects infects 

farming warming harming 
farmed warmed harmed 

farming harvesting consuming 
farmed harvested consumed 

faith doctrine congregation 
faiths doctrines congregations 

armenian armenia armenians 
serbian serbia serbs 

armenian armenia armenians 
croatian croatia croats 

armenian armenia armenians 
hungarian hungary hungarians 

armenian macedonian caledonian 
armenia macedonia caledonia 

explorer explore exploration 
navigator navigate navigation 

explorer explored exploring 
surveyor surveyed surveying 

residents presidents mayors 
residential presidential mayoral 

father's mother's sister's 
father-in-law mother-in-law sister-in-law 

father's brother's daughter's 
father-in-law brother-in-law daughter-in-law 

gain gaining gains 
retain retaining retains 

belief atheism anarchism 
believers atheists anarchists 

horror zombie ghoul 
horrors zombies ghouls 



interview interviews interviewed 
comment comments commented 



meter kilometer centimeter 
metre kilometre centimetre 



phrase noun morpheme 
phrases nouns morphemes 

mathematical mathematicians mathematically 
theoretical theorists theoretically 

walking hiking surfing 
walkers hikers surfers 

walking jumping pumping 
walked jumped pumped 

executed prosecuted offended 
executioner prosecutor offender 

executed persecuted circumcised 
execution persecution circumcision 

executed shouted begged 
executing shouting begging 

animation cartoon muppet 
animations cartoons muppets 

angle angles angular 
triangle triangles triangular 

angle angles angled 
rectangle rectangles tangled 

containing consisting assisting 
contained consisted assisted 

capacity facility utility 
capacities facilities utilities 

burned ruined starved 
burning ruining starving 

dating updating reverting 
dated updated reverted 

intended tended blended 
intends tends blends 



accused accuse accusing 
murdered murderer murdering 

accused convicted sentenced 
accusations convictions sentences 

accused alleged prosecuted 
accusations allegations prosecutions 

improved implemented supplemented 
improvement implement supplement 

improved implemented supplemented 
improvements implements supplements 

banned canned scanned 
banning canning scanning 

hungary bohemia silesia 
hungarian bohemian silesian 

expanded declined devastated 
expanding declining devastating 

revolutionary missionary mercenary 
revolutionaries missionaries mercenaries 

organisation organist organizer 
organisations organists organizers 

philosopher theologian evangelist 
philosophical theological evangelical 

philosopher sociologist paleontologist 
philosophers sociologists palaeontologists 

philosopher mathematician matheson 
philosophers mathematicians mathers 

philosopher aristotle euclid 
philosopher's aristotle's euclid's 

advance strategy simulation 
advances strategies simulations 

hearing fearing tearing 
hears fears tears 

combat fighter bomber 
combatants fighters bombers 

stored restored ruined 
