



self-employed self-employment 
versatile versatility 
alluring allure 
snarky snark 
eager eagerness 
magical magic 
vigilant vigilance 
sharp sharpness 
sexist sexism 
colonized colonization 
culpable culpability 
disputed dispute 
diseased disease 
baseless accusations 
prosperous prosperity 
sectarian sectarianism 
tranquil tranquility 
atheist atheism 
efficacious efficacy 
fanatical fanaticism 
bored boredom 
pagan paganism 
helpless helplessness 
bombastic hyperbole 
self-aware self-awareness 
obsessed obsession 
disgraceful disgrace 
jittery nervousness 
standardised standardisation 
safe safety 
passionate passion 
mature maturity 
despotic despotism 
euphoric euphoria 
inflamed inflammation 
devalued devaluation 
dependent dependence 
insane insanity 
political politics 
decentralized decentralization 
Confucian Confucianism 
unionist unionism 
hysterical hysteria 
accomplished accomplishment 
stratified stratification 
subversive subversion 
dehydrated dehydration 
practical practicality 
thirsty thirst 
rigorous rigor 
reliant reliance 
responsive responsiveness 
HIV-positive HIV 
unequal inequality 
overcrowded overcrowding 
dark darkness 
hypocritical hypocrisy 
visionary vision 
failed failure 
diligent diligence 
efficient efficiency 
extravagant extravagance 
cohesive cohesion 
symbiotic symbiosis 
inaccurate inaccuracy 
accessible accessibility 
christian christianity 
affluent affluence 
selfish selfishness 
confrontational confrontation 
honest honesty 
Zoroastrian Zoroastrianism 
anti-American anti-Americanism 
impotent impotence 
high-quality quality 
prestigious prestige 
austere austerity 
protectionist protectionism 
complacent complacency 
betrayed betrayal 
sustainable sustainability 
barbaric barbarism 
joyful joy 
prejudiced prejudice 
inequitable inequity 
multicultural multiculturalism 
familiar familiarity 
scalable scalability 
predictable predictability 
savage savagery 
majestic majesty 
acrimonious acrimony 
eccentric eccentricity 
unwell illness 
ready readiness 
satisfied satisfaction 
distinctive distinctiveness 
jubilant jubilation 
cathartic catharsis 
self-interested self-interest 
Muslim Islam 
anxious anxiety 
slanderous slander 
Homosexual Homosexuality 
ferocious ferocity 
elaborate elaboration 
stereotypical stereotypes 
utopian utopia 
secretive secrecy 
dependable dependability 
partisan partisanship 
playful playfulness 
adaptable adaptability 
coordinated coordination 
manic mania 
rich richness 
serious seriousness 
revisionist revisionism 
motivated motivation 
paradoxical paradox 
expansionist expansionism 
frustrated frustration 
vibrant vitality 
impartial impartiality 
transparent transparency 
absurd absurdity 
bitter bitterness 
differing differences 
proficient proficiency 
imperfect imperfection 
eligible eligibility 
humiliating humiliation 
emancipated emancipation 
courageous bravery 
disengaged disengagement 
illuminating illumination 
mystical mysticism 
overloaded overload 
Islamist Islamism 
dominant dominance 
anarchist anarchism 
balanced balance 
irritable irritability 
hedonistic hedonism 
skilled skill 
immoral immorality 
hierarchical hierarchy 
ascetic asceticism 
repressive repression 
derogatory slur 
profitable profitability 
stagnant stagnation 
hesitant hesitation 
malnourished malnutrition 
dizzy dizziness 
aristocratic aristocracy 
disciplined discipline 
uncomfortable discomfort 
Stalinist Stalinism 
defiant defiance 
autocratic autocracy 
detailed detail 
heterogeneous heterogeneity 
portable portability 
solemn solemnity 
layered layering 
entrepreneurial entrepreneurship 
competitive competitiveness 
incompetent incompetence 
co-ordinated co-ordination 
muslim islam 
self-sufficient self-sufficiency 
naturalistic naturalism 
delirious delirium 
resentful resentment 
libertarian libertarianism 
grandiose grandeur 
rational rationality 
militant militancy 
menacing menace 
serene serenity 
gentle gentleness 
intransigent intransigence 
interoperable interoperability 
homophobic homophobia 
indifferent indifference 
promiscuous promiscuity 
theocratic theocracy 
fantastical fantasy 
willing willingness 
innocent innocence 
altruistic altruism 
anti-semitic anti-semitism 
surprised surprise 
antagonistic antagonism 
cocky bravado 
advantageous advantages 
indignant indignation 
mutated mutation 
permanent permanence 
desperate desperation 
melodramatic melodrama 
terrorist terrorism 
ironic irony 
infected infection 
perverted perversion 
duplicitous duplicity 
wicked wickedness 
unlucky misfortune 
respectable respectability 
hardline hardliners 
drunken drunkenness 
manipulative manipulation 
polarized polarization 
perilous peril 
messy mess 
ambivalent ambivalence 
damaged damage 
skeptical skepticism 
bisexual bisexuality 
venomous venom 
insulting insult 
sophisticated sophistication 
deprived deprivation 
self-promoting self-promotion 
interdependent interdependence 
immature immaturity 
egalitarian egalitarianism 
long-lived longevity 
inconsistent inconsistency 
materialistic materialism 
synergistic synergy 
non-Christian Christianity 
lazy laziness 
squalid squalor 
brutal brutality 
calamitous calamity 
emotive emotion 
rationalist rationalism 
reticent reticence 
incredulous incredulity 
uncivil incivility 
earnest earnestness 
profane profanity 
extremist extremism 
impossible impossibility 
humble humility 
young youth 
hateful hatred 
fluent fluency 
agile agility 
farcical farce 
homogeneous homogeneity 
corrupt corruption 
fervent fervor 
polluted pollution 
zealous zeal 
assertive assertiveness 
deteriorating deterioration 
perfect perfection 
persecuted persecution 
monotheistic monotheism 
dishonest dishonesty 
Hindu Hinduism 
genocidal genocide 
pious piety 
deceitful deceit 
contented contentment 
frenzied frenzy 
assured assurance 
separatist separatism 
convenient convenience 
vaccinated vaccination 
surrealist surrealism 
heroic heroism 
distorted distortion 
expedient expediency 
greedy greed 
unsubstantiated allegation 
dry dryness 
confident confidence 
conspiratorial conspiracies 
inventive inventiveness 
coated coating 
pluralistic pluralism 
nihilistic nihilism 
Sikh Sikhism 
cynical cynicism 
blissful bliss 
snobbish snobbery 
compatible compatibility 
potent potency 
militaristic militarism 
comfortable comfort 
hostile hostility 
lawless lawlessness 
expressive expression 
dignified dignity 
cartoonish caricature 
popular popularity 
congested congestion 
xenophobic xenophobia 
Mormon Mormonism 
precise precision 
exuberant exuberance 
curious curiosity 
dogmatic dogma 
heterosexual heterosexuality 
powerless powerlessness 
asymmetrical asymmetry 
introspective introspection 
exaggerated exaggeration 
harmonious harmony 
fragile fragility 
effective effectiveness 
comedic comedy 
capitalist capitalism 
slimy slime 
nightmarish nightmare 
uncertain uncertainty 
empathetic empathy 
cursed curse 
detached detachment 
stimulating stimulation 
nuanced nuance 
excluded exclusion 
sane sanity 
difficult difficulty 
transcendent transcendence 
theatrical theatre 
contradictory contradiction 
patriotic patriotism 
fond fondness 
Sufi Sufism 
incompatible incompatibility 
self-reliant self-reliance 
libelous libel 
depraved depravity 
naive naivety 
sensual sensuality 
relaxing relaxation 
fearful fear 
customizable customization 
cruel cruelty 
relevant relevance 
turbulent turbulence 
secluded seclusion 
fatigued fatigue 
arrogant arrogance 
appealing appeal 
virulent virulence 
Marxist Marxism 
anguished anguish 
coherent coherence 
scurrilous innuendo 
psychotic psychosis 
furious fury 
miserable misery 
enthusiastic enthusiasm 
pragmatic pragmatism 
radical radicalism 
unique uniqueness 
discursive discourse 
reassuring reassurance 
totalitarian totalitarianism 
agitated agitation 
excited excitement 
durable durability 
bilingual bilingualism 
feminine femininity 
erudite erudition 
destitute destitution 
elegant elegance 
bigoted bigotry 
sleazy sleaze 
anachronistic anachronism 
rebellious rebellion 
reluctant reluctance 
inept ineptitude 
nationalist nationalism 
generous generosity 
minimalist minimalism 
lenient leniency 
Zionist Zionism 
vindicated vindication 
Socialist Socialism 
rigid rigidity 
unable inability 
confusing confusion 
Liberal Liberalism 
sincere sincerity 
fundamentalist fundamentalism 
contaminated contamination 
fallacious fallacy 
irrational irrationality 
chaste chastity 
intolerant intolerance 
reliable sources 
disrespectful disrespect 
fascist fascism 
illiterate illiteracy 
smelly odor 
democratic democracy 
unpredictable unpredictability 
interested interest 
communist communism 
sceptical scepticism 
compassionate compassion 
credible credibility 
grateful gratitude 
modular modularity 
hasty haste 
neoliberal neoliberalism 
macho machismo 
optimistic optimism 
authentic authenticity 
anti-government insurgency 
fluctuating fluctuation 
thuggish thuggery 
resilient resilience 
lethargic lethargy 
sympathetic sympathy 
racist racism 
Protestant Protestantism 
pessimistic pessimism 
isolated isolation 
lyrical lyricism 
virtuous virtue 
engaged engagement 
autonomous autonomy 
volatile volatility 
negligent negligence 
infested infestation 
insightful insight 
jealous jealousy 
susceptible susceptibility 
subjective subjectivity 
angry anger 
exploitative exploitation 
ambiguous ambiguity 
warm warmth 
shy shyness 
threatening threats 
whimsical whimsy 
panicked panic 
distressed distress 
cowardly cowardice 
opaque opacity 
suitable suitability 
hungry hunger 
schizophrenic schizophrenia 
distracted distraction 
self-governing self-government 
disconnected disconnection 
accurate accuracy 
poetic poetry 
gloomy gloom 
sloppy sloppiness 
biased bias 
witty wit 
capable capability 
rude rudeness 
secessionist secession 
heartbreaking heartbreak 
adventurous adventure 
independent independence 
globalized globalization 
loyal loyalty 
inexperienced inexperience 
superstitious superstition 
weary weariness 
affordable affordability 
postmodern postmodernism 
omnipotent omnipotence 
restless restlessness 
ambitious ambition 
unwilling unwillingness 
hazy haze 
discriminatory discrimination 
feminist feminism 
friendly friendliness 
abusive abuse 
literate literacy 
fascinated fascination 
self-conscious self-consciousness 
Gnostic Gnosticism 
flexible flexibility 
tragic tragedy 
heretical heresy 
devout devotion 
certified certification 
opinionated editorializing 
competent competence 
chaotic chaos 
unpopular unpopularity 
idealistic idealism 
urgent urgency 
toxic toxicity 
pseudoscientific pseudoscience 
moralistic morality 
tenacious tenacity 
affectionate affection 
alienated alienation 
Bolshevik Bolshevism 
trustworthy trustworthiness 
religious religion 
Capitalist Capitalism 
insensitive insensitivity 
disillusioned disillusionment 
illusory illusion 
specialised specialisation 
determined determination 
utilitarian utilitarianism 
qualified qualification 
privileged privilege 
vulgar vulgarity 
vague vagueness 
socialist socialism 
crazy craziness 
dictatorial dictatorship 
allegorical allegory 
operatic opera 
coercive coercion 
inconvenient inconvenience 
obedient obedience 
internationalist internationalism 
invisible invisibility 
fragmented fragmentation 
indulgent indulgence 
noisy noise 
elastic elasticity 
Islamophobic Islamophobia 
extensible extensibility 
unscientific pseudo-science 
nostalgic nostalgia 
humanist humanism 
obligated obligation 
resonant resonance 
sweet sweetness 
bold boldness 
monogamous monogamy 
polemical polemic 
enlightened enlightenment 
hazardous hazards 
viable viability 
marginalized marginalization 
righteous righteousness 
focused focus 
addicted addiction 
disoriented disorientation 
violent violence 
ingenious ingenuity 
congruent congruence 



# other noun - adj frames

popular successful influential controversial interested
popularity success influence controversy interest

dangerous danger dangers 
disastrous disaster disasters 

responsible responsibility responses 
sensible sensibility senses 

rhythm rhythms rhythmic 
melody melodies melodic 


eternal maternal fraternal 
eternity maternity fraternity 

darkness brightness lightness 
darkest brightest lightest 


economic economy economically 
cultural culture culturally 

important popular successful 
importance popularity success 


christian jewish muslim 
christians jews muslims 

president governor mayor 
presidential gubernatorial mayoral 




